PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Luther,K,LUT,1,,,,,,,KO Ret,Return,,,,,,,,,,,,,,,,Mike McDevitt,0,30.0,Diego Lopez,35.0,30.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Luther,O,LOR,1,,1.0,1.0,0.0,10.0,-30.0,Run,Rush,70.0,Elijah Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:58,1798,0,0,0,3,3,3,,,,,,,
3,Luther,K,LOR,1,,,,1.0,3.0,3.0,Extra Pt.,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levi Wolter,Nicolas Farfan,,,Blocked,,,,,,,,,14:46,1786,6,0,6,3,3,3,,,,,,,
4,Luther,K,LOR,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Sean Doyle,,,,,,,Vershon Brooks,11,28.0,Zak Talbot,48.0,17.0,Return,,,,,,,,,,,,,,,,,,,14:46,1786,6,0,6,3,3,3,,,,,,,
5,Luther,D,LUT,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,1.0,Vershon Brooks,,,,,,,Josh Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42,1782,0,6,6,3,3,3,,,,,,,
6,Luther,D,LUT,1,,1.0,2.0,2.0,9.0,-29.0,Run,Rush,0.0,Vershon Brooks,,,,,,,Josh Kieffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42,1782,0,6,6,3,3,3,,,,,,,
7,Luther,D,LUT,1,,1.0,3.0,3.0,9.0,-29.0,Pass,Complete,1.0,,Alex Griffeth,Complete,Andre Atkins,,,,Joey Foley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:42,1782,0,6,6,3,3,3,Roughing The Passer,LOR,Sam Jones,,,,20.0
8,Luther,D,LUT,1,,1.0,4.0,1.0,10.0,-50.0,Run,Rush,3.0,Vershon Brooks,,,,,,,Josh Jones,Mason Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42,1782,0,6,6,3,3,3,,,,,,,
9,Luther,D,LUT,1,,1.0,5.0,2.0,7.0,47.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,Vershon Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:42,1782,0,6,6,3,3,3,,,,,,,
10,Luther,D,LUT,1,,1.0,6.0,3.0,7.0,47.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,Blake Storby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:42,1782,0,6,6,3,3,3,,,,,,,
11,Luther,K,LUT,1,,,,4.0,7.0,47.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Thane Larson,46.0,1.0,,,,,,,,,,,,,,,14:42,1782,0,6,6,3,3,3,,,,,,,
12,Luther,O,LOR,1,,2.0,1.0,0.0,10.0,-1.0,Run,Rush,76.0,Ty Bausch,,,,,,,Sam Bundy,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:34,1654,6,0,6,3,3,3,,,,,,,
13,Luther,O,LOR,1,,2.0,2.0,1.0,10.0,23.0,Run,Rush,5.0,Noah Sigwarth,,,,,,,Bryce Neuse,Zach Olson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:34,1654,6,0,6,3,3,3,,,,,,,
14,Luther,O,LOR,1,,2.0,3.0,2.0,5.0,18.0,Pass,Complete,7.0,,Noah Sigwarth,Complete,Marty McGovern,,,,Dexter Wright,Sam Bundy,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:34,1654,6,0,6,3,3,3,,,,,,,
15,Luther,O,LOR,1,,2.0,4.0,1.0,10.0,11.0,Pass,Incomplete,0.0,,Noah Sigwarth,Incomplete,Eric Hradek,Matt Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:34,1654,6,0,6,3,3,3,,,,,,,
16,Luther,O,LOR,1,,2.0,5.0,2.0,10.0,11.0,Run,Rush,-1.0,Eric Hradek,,,,,,,Jeremy Whalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:34,1654,6,0,6,3,3,3,,,,,,,
17,Luther,O,LOR,1,,2.0,6.0,3.0,11.0,12.0,Pass,Complete,12.0,,Noah Sigwarth,Complete,Dwayne Emilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,12:34,1654,6,0,6,3,3,3,,,,,,,
18,Luther,K,LOR,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Farfan,,,Good,,,,,,,,,10:08,1508,12,0,12,3,3,3,,,,,,,
19,Luther,K,LOR,1,,,,1.0,10.0,-35.0,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Zak Talbot,54.0,11.0,Fair Catch,,,,,,,,,,,,,,,,,,,10:08,1508,13,0,13,3,3,3,,,,,,,
20,Luther,D,LUT,1,,2.0,1.0,0.0,10.0,-25.0,Run,Rush,0.0,Canon Reece,,,,,,,Jace Gwynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,13,13,3,3,3,,,,,,,
21,Luther,D,LUT,1,,2.0,2.0,2.0,10.0,-25.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,Andre Atkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:08,1508,0,13,13,3,3,3,,,,,,,
22,Luther,D,LUT,1,,2.0,3.0,3.0,10.0,-25.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,,Josh Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:08,1508,0,13,13,3,3,3,,,,,,,
23,Luther,K,LUT,1,,,,4.0,10.0,-25.0,Punt Ret,Return,,,,,,,,,Dakota Wright,,,,,,,Ty Bausch,9,-50.0,,,,,,Thane Larson,34.0,41.0,Return,,,,,,,,,,,,,,10:08,1508,0,13,13,3,3,3,,,,,,,
24,Luther,O,LOR,1,,3.0,1.0,0.0,10.0,50.0,Pass,Complete,4.0,,Devon Moore,Complete,Noah Sigwarth,,,,Dakota Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:13,1453,13,0,13,3,3,3,,,,,,,
25,Luther,O,LOR,1,,3.0,2.0,2.0,6.0,46.0,Run,Rush,1.0,Devon Moore,,,,,,,Dakota Wright,Matt Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:13,1453,13,0,13,3,3,3,,,,,,,
26,Luther,O,LOR,1,,3.0,3.0,3.0,5.0,45.0,Pass,Complete,29.0,,Devon Moore,Complete,Ty Bausch,,,,Brandon Deas,Sam Bundy,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:13,1453,13,0,13,3,3,3,,,,,,,
27,Luther,O,LOR,1,,3.0,4.0,1.0,10.0,16.0,Pass,Complete,10.0,,Devon Moore,Complete,Noah Sigwarth,,,,Sam Bundy,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:13,1453,13,0,13,3,3,3,,,,,,,
28,Luther,O,LOR,1,,3.0,5.0,1.0,6.0,6.0,Pass,Complete,6.0,,Noah Sigwarth,Complete,Dwayne Emilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,09:13,1453,13,0,13,3,3,3,,,,,,,
29,Luther,O,LOR,1,,3.0,6.0,0.0,3.0,3.0,Run,Good,,Noah Sigwarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,07:21,1341,19,0,19,3,3,3,,,,,,,
30,Luther,K,LOR,1,,,,1.0,10.0,-35.0,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Zak Talbot,55.0,10.0,Fair Catch,,,,,,,,,,,,,,,,,,,07:21,1341,21,0,21,3,3,3,,,,,,,
31,Luther,D,LUT,1,,3.0,1.0,0.0,10.0,-25.0,Run,Rush,0.0,Mentor Cooper,,,,,,,Brett McWilliams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:21,1341,0,21,21,3,3,3,,,,,,,
32,Luther,D,LUT,1,,3.0,2.0,2.0,10.0,-25.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,Mentor Cooper,Josh Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:21,1341,0,21,21,3,3,3,,,,,,,
33,Luther,D,LUT,1,,3.0,3.0,3.0,10.0,-25.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:21,1341,0,21,21,3,3,3,,,,,,,
34,Luther,K,LUT,1,,,,4.0,10.0,-25.0,Punt Ret,Return,,,,,,,,,,,,,,,,Jake Rockweiler,0,49.0,,,,,,Thane Larson,26.0,49.0,Return,,,,,,,,,,,,,,07:21,1341,0,21,21,3,3,3,,,,,,,
35,Luther,O,LOR,1,,4.0,1.0,0.0,10.0,-49.0,Run,Rush,1.0,Noah Sigwarth,,,,,,,Aydan Holub-Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:24,1284,21,0,21,3,3,3,,,,,,,
36,Luther,O,LOR,1,,4.0,2.0,2.0,9.0,-50.0,Run,Rush,1.0,Elijah Thomas,,,,,,,Matt Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:24,1284,21,0,21,3,3,3,,,,,,,
37,Luther,O,LOR,1,,4.0,3.0,3.0,8.0,49.0,Run,Rush,12.0,Noah Sigwarth,,,,,,,Jeremy Whalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,06:24,1284,21,0,21,3,3,3,Holding,LOR,Mitchell Huisenga,,,,10.0
38,Luther,O,LOR,1,,4.0,4.0,3.0,18.0,-41.0,Pass,Complete,32.0,,Noah Sigwarth,Complete,Je'Von Williams,,,,Jeremy Whalen,Brandon Deas,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:24,1284,21,0,21,3,3,3,,,,,,,
39,Luther,O,LOR,1,,4.0,5.0,1.0,10.0,27.0,Pass,Complete,16.0,,Noah Sigwarth,Complete,Elijah Thomas,,,,Jeremy Whalen,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:24,1284,21,0,21,3,3,3,,,,,,,
40,Luther,O,LOR,1,,4.0,6.0,1.0,10.0,11.0,Pass,Complete,11.0,,Noah Sigwarth,Complete,Mani Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,06:24,1284,21,0,21,3,3,3,,,,,,,
41,Luther,K,LOR,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Farfan,,,Good,,,,,,,,,04:41,1181,27,0,27,3,3,3,,,,,,,
42,Luther,K,LOR,1,,,,1.0,10.0,-35.0,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Zak Talbot,54.0,11.0,Fair Catch,,,,,,,,,,,,,,,,,,,04:41,1181,28,0,28,3,3,3,,,,,,,
43,Luther,D,LUT,1,,4.0,1.0,0.0,10.0,-25.0,Run,Rush,1.0,Vershon Brooks,,,,,,,Mason Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:41,1181,0,28,28,3,3,3,,,,,,,
44,Luther,D,LUT,1,,4.0,2.0,2.0,9.0,-26.0,Run,Rush,3.0,Vershon Brooks,,,,,,,Zach Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:41,1181,0,28,28,3,3,3,,,,,,,
45,Luther,D,LUT,1,,4.0,3.0,3.0,6.0,-29.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,,Joey Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:41,1181,0,28,28,3,3,3,,,,,,,
46,Luther,K,LUT,1,,,,4.0,6.0,-29.0,Punt Ret,Return,,,,,,,,,Sam Feine,,,,,,,Jake Rockweiler,21,-47.0,,,,,,Thane Larson,39.0,32.0,Return,,,,,,,,,,,,,,04:41,1181,0,28,28,3,3,3,,,,,,,
47,Luther,O,LOR,1,,5.0,1.0,0.0,10.0,47.0,Pass,Incomplete,0.0,,Noah Sigwarth,Incomplete,Mani Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
48,Luther,O,LOR,1,,5.0,2.0,2.0,10.0,47.0,Pass,Complete,7.0,,Noah Sigwarth,Complete,Eric Hradek,,,,Sam Bundy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
49,Luther,O,LOR,1,,5.0,3.0,3.0,3.0,40.0,Run,Rush,-1.0,Eric Hradek,,,,,,,Jerry Jones,Sam Feine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
50,Luther,O,LOR,1,,5.0,4.0,4.0,4.0,41.0,Pass,Complete,8.0,,Noah Sigwarth,Complete,Mani Brown,,,,Sam Bundy,Brandon Deas,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
51,Luther,O,LOR,1,,5.0,5.0,1.0,10.0,33.0,Pass,Complete,6.0,,Noah Sigwarth,Complete,Eric Hradek,,,,Jeremy Whalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
52,Luther,O,LOR,1,,5.0,6.0,2.0,4.0,27.0,Pass,Incomplete,0.0,,Noah Sigwarth,Incomplete,Michael Crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
53,Luther,O,LOR,1,,5.0,7.0,3.0,4.0,27.0,Run,Rush,20.0,Noah Sigwarth,,,,,,,Brandon Deas,Sam Feine,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
54,Luther,O,LOR,1,,5.0,8.0,1.0,7.0,7.0,Run,Rush,2.0,Noah Sigwarth,,,,,,,Joshua Matanich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
55,Luther,O,LOR,1,,5.0,9.0,2.0,5.0,5.0,Run,Rush,2.0,Ty Bausch,,,,,,,Jeremy Whalen,Xavier Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:39,1119,28,0,28,3,3,3,,,,,,,
56,Luther,O,LOR,2,,5.0,10.0,3.0,3.0,3.0,Pass,Complete,3.0,,Noah Sigwarth,Complete,Elijah Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,900,28,0,28,3,3,3,,,,,,,
57,Luther,K,LOR,2,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Farfan,,,Good,,,,,,,,,14:55,895,34,0,34,3,3,3,,,,,,,
58,Luther,K,LOR,2,,,,1.0,10.0,-35.0,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Zak Talbot,54.0,11.0,Fair Catch,,,,,,,,,,,,,,,,,,,14:55,895,35,0,35,3,3,3,,,,,,,
59,Luther,D,LUT,2,,5.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,,Dawson Charley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,895,0,35,35,3,3,3,,,,,,,
60,Luther,D,LUT,2,,5.0,2.0,2.0,10.0,-25.0,Run,Rush,3.0,Vershon Brooks,,,,,,,Dawson Charley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,895,0,35,35,3,3,3,,,,,,,
61,Luther,D,LUT,2,,5.0,3.0,3.0,7.0,-28.0,Pass,Incomplete,0.0,,Alex Griffeth,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,895,0,35,35,3,3,3,,,,,,,
62,Luther,K,LUT,2,,,,4.0,7.0,-28.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Thane Larson,35.0,37.0,Fair Catch,,,,,,,,,,,,,,14:55,895,0,35,35,3,3,3,,,,,,,
63,Luther,O,LOR,2,,6.0,1.0,0.0,10.0,-37.0,Run,Rush,-3.0,Ty Bausch,,,,,,,Levi Wolter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,834,35,0,35,3,3,3,,,,,,,
64,Luther,O,LOR,2,,6.0,2.0,2.0,13.0,-34.0,Run,Rush,23.0,Noah Sigwarth,,,,,,,Brandon Deas,Dexter Wright,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:54,834,35,0,35,3,3,3,,,,,,,
65,Luther,O,LOR,2,,6.0,3.0,1.0,10.0,43.0,Pass,Complete,13.0,,Noah Sigwarth,Complete,Kabryn Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:54,834,35,0,35,3,3,3,,,,,,,
66,Luther,O,LOR,2,,6.0,4.0,1.0,10.0,30.0,Pass,Complete,28.0,,Noah Sigwarth,Complete,Mike McDevitt,,,,Willy Moses,Sam Bundy,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:54,834,35,0,35,3,3,3,,,,,,,
67,Luther,O,LOR,2,,6.0,5.0,1.0,2.0,2.0,Run,Rush,1.0,Noah Sigwarth,,,,,,,Matt Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,834,35,0,35,3,3,3,,,,,,,
68,Luther,O,LOR,2,,6.0,6.0,2.0,1.0,1.0,Run,Rush,-1.0,Ty Bausch,,,,,,,Zach Olson,Jeremy Whalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,834,35,0,35,3,3,3,,,,,,,
69,Luther,O,LOR,2,,6.0,7.0,3.0,2.0,2.0,Run,Rush,2.0,Noah Sigwarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,13:54,834,35,0,35,3,3,3,,,,,,,
70,Luther,O,LOR,2,,6.0,8.0,0.0,3.0,3.0,Run,Good,,Noah Sigwarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,10:53,653,41,0,41,3,3,3,,,,,,,
71,Luther,K,LOR,2,,,,1.0,10.0,-35.0,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Zak Talbot,58.0,7.0,Fair Catch,,,,,,,,,,,,,,,,,,,10:53,653,43,0,43,3,3,3,,,,,,,
72,Luther,D,LUT,2,,6.0,1.0,0.0,10.0,-25.0,Run,Rush,0.0,Parker Kizer,,,,,,,Josh Jones,Brandon Phelps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53,653,0,43,43,3,3,3,,,,,,,
73,Luther,D,LUT,2,,6.0,2.0,2.0,10.0,-25.0,Run,Rush,9.0,Vershon Brooks,,,,,,,Mason Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53,653,0,43,43,3,3,3,,,,,,,
74,Luther,D,LUT,2,,6.0,3.0,3.0,1.0,-34.0,Run,Rush,5.0,Vershon Brooks,,,,,,,Brandon Phelps,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:53,653,0,43,43,3,3,3,,,,,,,
75,Luther,D,LUT,2,,6.0,4.0,1.0,10.0,-39.0,Run,Rush,15.0,Vershon Brooks,,,,,,,Zacchaeus Knighton,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:53,653,0,43,43,3,3,3,,,,,,,
76,Luther,D,LUT,2,,6.0,5.0,1.0,10.0,46.0,Run,Rush,2.0,Vershon Brooks,,,,,,,Sam Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53,653,0,43,43,3,3,3,,,,,,,
77,Luther,D,LUT,2,,6.0,6.0,2.0,8.0,44.0,Run,Rush,-8.0,Parker Kizer,,,,,,,Marcus Lampley,Jack Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53,653,0,43,43,3,3,3,,,,,,,
78,Luther,D,LUT,2,,6.0,7.0,3.0,16.0,-48.0,Run,Rush,0.0,Parker Kizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53,653,0,43,43,3,3,3,,,,,,,
79,Luther,D,LUT,2,,6.0,8.0,4.0,16.0,-48.0,Run,Rush,0.0,Parker Kizer,,,,,,,Mason Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,10:53,653,0,43,43,3,3,3,,,,,,,
80,Luther,O,LOR,2,,7.0,1.0,0.0,10.0,48.0,Pass,Incomplete,0.0,,Devon Moore,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:18,438,43,0,43,3,3,3,,,,,,,
81,Luther,O,LOR,2,,7.0,2.0,2.0,10.0,48.0,Pass,Incomplete,0.0,,Noah Sigwarth,Incomplete,Dwayne Emilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:18,438,43,0,43,3,3,3,,,,,,,
82,Luther,O,LOR,2,,7.0,3.0,3.0,10.0,48.0,Pass,Complete,18.0,,Devon Moore,Complete,Marty McGovern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:18,438,43,0,43,3,3,3,,,,,,,
83,Luther,O,LOR,2,,7.0,4.0,1.0,10.0,30.0,Run,Rush,7.0,Elijah Thomas,,,,,,,Brandon Deas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:18,438,43,0,43,3,3,3,,,,,,,
