PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lebanon Valley,K,DVU,1,,,,,,,KO,Return,,,,,,,,,Gerald Cruz,Aaron Mayers,,,,,,Cameron Niemeyer,12,21.0,Pat Moran,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lebanon Valley,D,LVC,1,,1.0,1.0,0.0,10.0,-21.0,Run,Rush,3.0,Braden Bohannon,,,,,,,Shymere Vessels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Lebanon Valley,D,LVC,1,,1.0,2.0,2.0,7.0,-24.0,Run,Rush,1.0,Tim Ervey,,,,,,,Justin Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Lebanon Valley,D,LVC,1,,1.0,3.0,3.0,6.0,-25.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,Andrew Olson,,,Yusuf Aladinov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Lebanon Valley,K,LVC,1,,,,4.0,6.0,-25.0,Punt Ret,Return,,,,,,,,,Ryan Enright,Chris Torres,,,,,,Tahmir Barksdale,17,-46.0,,,,,,Jeremy Bours Jr.,38.0,37.0,Return,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Lebanon Valley,O,DVU,1,,1.0,1.0,0.0,10.0,46.0,Run,Rush,6.0,Donte Simmons,,,,,,,Brad Shear,Jake Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:28,1708,0,0,0,3,3,3,,,,,,,
7,Lebanon Valley,O,DVU,1,,1.0,2.0,2.0,4.0,40.0,Run,Rush,3.0,Donte Simmons,,,,,,,Dillon Estes,Noah Caldani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:28,1708,0,0,0,3,3,3,,,,,,,
8,Lebanon Valley,O,DVU,1,,1.0,3.0,3.0,1.0,37.0,Run,Rush,5.0,Donte Simmons,,,,,,,Tyler Lutz,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:28,1708,0,0,0,3,3,3,,,,,,,
9,Lebanon Valley,O,DVU,1,,1.0,4.0,1.0,10.0,32.0,Pass,Complete,7.0,,Daquan Bohannan,Complete,Julian White,,,,Erik Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:28,1708,0,0,0,3,3,3,,,,,,,
10,Lebanon Valley,O,DVU,1,,1.0,5.0,2.0,3.0,25.0,Run,Rush,4.0,John Davis,,,,,,,Brad Shear,Noah Caldani,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:28,1708,0,0,0,3,3,3,,,,,,,
11,Lebanon Valley,O,DVU,1,,1.0,6.0,1.0,10.0,21.0,Pass,Complete,2.0,,Daquan Bohannan,Complete,Tahmir Barksdale,,,,Tyler Lutz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:28,1708,0,0,0,3,3,3,,,,,,,
12,Lebanon Valley,O,DVU,1,,1.0,7.0,2.0,12.0,23.0,Run,Rush,2.0,Daquan Bohannan,,,,,,,Jake Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:28,1708,0,0,0,3,3,3,,,,,,,
13,Lebanon Valley,O,DVU,1,,1.0,8.0,3.0,10.0,21.0,Pass,Complete,18.0,,Daquan Bohannan,Complete,John Davis,,,,Grant Gaumer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:28,1708,0,0,0,3,3,3,,,,,,,
14,Lebanon Valley,O,DVU,1,,1.0,9.0,1.0,3.0,3.0,Run,Rush,3.0,Daquan Bohannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:28,1708,0,0,0,3,3,3,,,,,,,
15,Lebanon Valley,K,DVU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Hughes,,,Good,,,,,,,,,09:06,1446,6,0,6,3,3,3,,,,,,,
16,Lebanon Valley,K,DVU,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Notti Jones,,,,,,,Cameron Niemeyer,9,27.0,Pat Moran,47.0,18.0,Return,,,,,,,,,,,,,,,,,,,09:06,1446,7,0,7,3,3,3,,,,,,,
17,Lebanon Valley,D,LVC,1,,2.0,1.0,0.0,10.0,-27.0,Run,Rush,1.0,Ian Murhon,,,,,,,Shymere Vessels,Trent Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:50,1430,0,7,7,3,3,3,,,,,,,
18,Lebanon Valley,D,LVC,1,,2.0,2.0,2.0,9.0,-28.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,Jay Sisko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:50,1430,0,7,7,3,3,3,,,,,,,
19,Lebanon Valley,D,LVC,1,,2.0,3.0,3.0,9.0,-28.0,Pass,Sack,0.0,,Braden Bohannon,Sack,,,,,Yusuf Aladinov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:50,1430,0,7,7,3,3,3,,,,,,,
20,Lebanon Valley,K,LVC,1,,,,4.0,9.0,-28.0,Punt Ret,Return,,,,,,,,,,,,,,,,Tahmir Barksdale,13,43.0,,,,,,Jeremy Bours Jr.,42.0,30.0,Return,,,,,,,,,,,,,,08:50,1430,0,7,7,3,3,3,Offside,DVU,,,,,
