PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,The College of New Jersey,K,TCNJ,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Matt Kuntz,Justin Kurc,,,,,,Brad Bryan,15,19.0,Bobby Wortman,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,The College of New Jersey,O,MOR,1,,1.0,1.0,0.0,10.0,-19.0,Coming Out,Run,Rush,6.0,Jared Jenkins,middle,,,,,,,,,Chris McCormack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,The College of New Jersey,O,MOR,1,,1.0,2.0,2.0,4.0,-25.0,Coming Out,Pass,Sack,-7.0,,,Jared Jenkins,,,Sack,,,,,Nick Celli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,The College of New Jersey,O,MOR,1,,1.0,3.0,3.0,11.0,-18.0,Coming Out,Run,Rush,6.0,Nate Boyle,middle,,,,,,,,,Matt Kuntz,Jack Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,The College of New Jersey,K,MOR,1,,,,4.0,5.0,-24.0,Coming Out,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bingaman,31.0,45.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,The College of New Jersey,D,TCNJ,1,,1.0,1.0,0.0,10.0,-45.0,Go Zone,Pass,Complete,4.0,,,,,,Complete,Malin Jasinski,,,,Romello Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,The College of New Jersey,D,TCNJ,1,,1.0,2.0,2.0,6.0,-49.0,Go Zone,Run,Rush,3.0,Jayson Schmidt,middle,,,,,,,,,Nick Levinski,Drew Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,The College of New Jersey,D,TCNJ,1,,1.0,3.0,3.0,3.0,48.0,Go Zone,Pass,Complete,6.0,,,,,,Complete,Joe Bellamy Jr.,,,,Matt Blazofsky,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
9,The College of New Jersey,D,TCNJ,1,,1.0,4.0,1.0,10.0,42.0,Go Zone,Run,Rush,0.0,Jayson Schmidt,right,,,,,,,,,Romello Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:54,1794,0,0,0,3,3,3,offside defense,MOR,J. Espinal-Katz,,,,5.0
10,The College of New Jersey,D,TCNJ,1,,1.0,5.0,1.0,5.0,37.0,Go Zone,Pass,Complete,6.0,,,,,,Complete,Joe Bellamy Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
11,The College of New Jersey,D,TCNJ,1,,1.0,6.0,1.0,10.0,31.0,Take A Shot,Pass,Sack,-4.0,,,Stephen Begen,,,Sack,,,,,Drew Bailey,J. Espinal-Katz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
