PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Gust. Adolphus,K,BVU,1,,,,,,,,KO,Touchback,,,,,,,,,,,,,,,,,,,,,,Matthew Beisswenger,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Gust. Adolphus,D,GAC,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Pass,Complete,6.0,,,Daniel Rennie,,,Complete,Matthew Kipper,,,,Brady McConaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Gust. Adolphus,,GAC,1,,,,2.0,4.0,-31.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,False Start,GAC,Sam Stafsholt,,,,5.0
4,Gust. Adolphus,D,GAC,1,,1.0,2.0,2.0,9.0,-26.0,Gold Zone,Pass,Complete,4.0,,,Daniel Rennie,short,middle,Complete,Ethan Sindelir,,,,Brandon Lance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Gust. Adolphus,,GAC,1,,,,3.0,5.0,-30.0,Gold Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buena Vista,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Gust. Adolphus,D,GAC,1,,1.0,3.0,3.0,5.0,-30.0,Gold Zone,Run,Rush,3.0,Daniel Rennie,right,,,,,,,,,Cory Kitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:47,1727,0,0,0,2,3,2,,,,,,,
7,Gust. Adolphus,K,GAC,1,,,,4.0,2.0,-33.0,Gold Zone,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Owen Casteel,20.0,47.0,Out of bounds,,,,,,,,,,,,,,13:47,1727,0,0,0,2,3,2,,,,,,,
8,Gust. Adolphus,O,BVU,1,,1.0,1.0,0.0,10.0,-47.0,Go Zone,Pass,Complete,24.0,,,Zach Herrera,,,Complete,Dylan Laughlin,,,,Zachary Jakes,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:16,1636,0,0,0,2,2,3,,,,,,,
9,Gust. Adolphus,O,BVU,1,,1.0,2.0,1.0,10.0,29.0,Take A Shot,Run,Rush,3.0,Emanuel Alaniz,,,,,,,,,,Javier Gratacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,0,0,2,2,3,,,,,,,
10,Gust. Adolphus,O,BVU,1,,1.0,3.0,2.0,7.0,26.0,Take A Shot,Pass,Incomplete,0.0,,,Zach Herrera,short,left,Incomplete,Kendrick Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,0,0,2,2,3,,,,,,,
11,Gust. Adolphus,O,BVU,1,,1.0,4.0,3.0,7.0,26.0,Take A Shot,Pass,Incomplete,0.0,,,Zach Herrera,short,left,Incomplete,Keaton Huebner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,12:16,1636,0,0,0,2,2,3,,,,,,,
12,Gust. Adolphus,K,BVU,1,,,,4.0,7.0,26.0,Take A Shot,FG,No Good,,,,,,,,,,,,Seth H: Gallardo,,,,,,,,,,,,,,,,,,,,Matthew Beisswenger,41.0,No Good,,,,,,,,,,12:16,1636,0,0,0,2,2,3,,,,,,,
13,Gust. Adolphus,D,GAC,1,,2.0,1.0,0.0,10.0,-26.0,Gold Zone,Run,Rush,8.0,David Peal,left,,,,,,,,,Aydan Guenther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:06,1566,0,0,0,2,3,2,,,,,,,
14,Gust. Adolphus,D,GAC,1,,2.0,2.0,2.0,2.0,-34.0,Gold Zone,Pass,Incomplete,0.0,,,Daniel Rennie,short,right,Incomplete,Matthew Carreon,Brady McConaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:06,1566,0,0,0,2,3,2,,,,,,,
15,Gust. Adolphus,D,GAC,1,,2.0,3.0,3.0,2.0,-34.0,Gold Zone,Run,Rush,6.0,David Peal,right,,,,,,,,,Aydan Guenther,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:06,1566,0,0,0,2,3,2,,,,,,,
16,Gust. Adolphus,D,GAC,1,,2.0,4.0,1.0,10.0,-40.0,Gold Zone,Pass,Complete,11.0,,,Daniel Rennie,deep,right,Complete,Rohee Konde,,,,Brady McConaty,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:06,1566,0,0,0,2,3,2,,,,,,,
17,Gust. Adolphus,D,GAC,1,,2.0,5.0,1.0,10.0,49.0,Go Zone,Pass,Complete,8.0,,,Daniel Rennie,short,left,Complete,Jake Breitbach,,,,Trey Ortman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:06,1566,0,0,0,2,3,2,,,,,,,
18,Gust. Adolphus,D,GAC,1,,2.0,6.0,2.0,2.0,41.0,Go Zone,Run,Rush,11.0,David Peal,left,,,,,,,,,Kordell Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:06,1566,0,0,0,2,3,2,Personal Foul,BVU,Alonzo Davis,,,,15.0
19,Gust. Adolphus,D,GAC,1,,2.0,7.0,1.0,10.0,15.0,Red Zone High,Pass,Complete,15.0,,,Daniel Rennie,deep,left,Complete,Jake Breitbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:06,1566,0,0,0,2,3,2,,,,,,,
20,Gust. Adolphus,K,GAC,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,Owen H: Casteel,,,,,,,,,,,,,,,,,,,,Andrew Abegglen,,,Good,,,,,,,,,08:20,1400,6,0,-6,2,3,2,,,,,,,
21,Gust. Adolphus,K,GAC,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,,,,,,,,Andre Booker,0,37.0,Andrew Abegglen,28.0,37.0,Return,,,,,,,,,,,,,,,,,,,08:20,1400,7,0,-7,2,3,2,,,,,,,
22,Gust. Adolphus,O,BVU,1,,2.0,1.0,0.0,10.0,-37.0,Gold Zone,Run,Rush,1.0,Emanuel Alaniz,middle,,,,,,,,,William Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,7,-7,2,2,3,,,,,,,
23,Gust. Adolphus,O,BVU,1,,2.0,2.0,2.0,9.0,-38.0,Gold Zone,Pass,Incomplete,0.0,,,Zach Herrera,short,left,Incomplete,Kendrick Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,7,-7,2,2,3,,,,,,,
24,Gust. Adolphus,O,BVU,1,,2.0,3.0,3.0,9.0,-38.0,Gold Zone,Pass,Incomplete,0.0,,,Zach Herrera,short,left,Incomplete,Kendrick Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:19,1399,0,7,-7,2,2,3,,,,,,,
25,Gust. Adolphus,,BVU,1,,,,4.0,9.0,-38.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,7,-7,2,2,3,Delay Of Game,BVU,Matthew Beisswenger,,,,5.0
26,Gust. Adolphus,K,BVU,1,,,,4.0,14.0,-33.0,Gold Zone,Punt,Return,,,,,,,,,,,,,,,,,,,Dalton Thelen,8,28.0,,,,,,Matthew Beisswenger,47.0,20.0,Return,,,,,,,,,,,,,,08:19,1399,0,7,-7,2,2,3,,,,,,,
27,Gust. Adolphus,D,GAC,1,,3.0,1.0,0.0,10.0,-28.0,Gold Zone,Pass,Interception,0.0,,,Daniel Rennie,,,Interception,,,Brandon Lance,,,,,,,,,Brandon Lance,47,40.0,,,,,,,,,,,,,,,,,,,,,,Interception,07:30,1350,7,0,-7,2,3,2,Holding,BVU,Alonzo Davis,,,,10.0
28,Gust. Adolphus,O,BVU,1,,3.0,1.0,0.0,10.0,23.0,Take A Shot,Run,Rush,1.0,Michael Odom,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,0,7,-7,2,2,3,,,,,,,
29,Gust. Adolphus,O,BVU,1,,3.0,2.0,2.0,9.0,22.0,Take A Shot,Pass,Incomplete,0.0,,,Zach Herrera,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,0,7,-7,2,2,3,,,,,,,
30,Gust. Adolphus,O,BVU,1,,3.0,3.0,3.0,9.0,22.0,Take A Shot,Run,Rush,-1.0,Keaton Huebner,,,,,,,,,,Andrew Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,07:40,1360,0,7,-7,2,2,3,,,,,,,
31,Gust. Adolphus,K,BVU,1,,,,4.0,10.0,23.0,Take A Shot,FG,Return,,,,,,,,,,,,Seth H: Gallardo,,,,,,,Zachary Jakes,39,30.0,,,,,,,,,,,Matthew Beisswenger,39.0,Return,,,,,,,,,,07:40,1360,0,7,-7,2,2,3,,,,,,,
32,Gust. Adolphus,D,GAC,1,,4.0,1.0,0.0,10.0,30.0,Take A Shot,Run,Rush,12.0,Rohee Konde,,,,,,,,,,Adrian Boston,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:49,1249,7,0,-7,2,3,2,,,,,,,
