PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wittenberg,K,WAB,1,,,,,,,KO,Return,,,,,,,,,Aidan Walker,,,,,,,Tyler May,19,39.0,Jacob Handley,45.0,20.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wittenberg,D,WIT,1,,1.0,1.0,0.0,10.0,-39.0,Pass,Sack,-2.0,,Collin Brown,Sack,,,,,Will Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Wittenberg,D,WIT,1,,1.0,2.0,2.0,12.0,-37.0,Run,Rush,3.0,Bryce Anderson,,,,,,,Clayton McPeek,Josh Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Wittenberg,D,WIT,1,,1.0,3.0,3.0,9.0,-40.0,Pass,Incomplete,0.0,,Collin Brown,Incomplete,Gene Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Wittenberg,K,WIT,1,,,,4.0,9.0,-40.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Julio Novarini,36.0,24.0,Fair Catch,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,Running Into The Kicker,WAB,,,,,
6,Wittenberg,O,WAB,1,,1.0,1.0,0.0,10.0,-24.0,Run,Rush,4.0,Donovan Snyder,,,,,,,Mike Knock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
7,Wittenberg,O,WAB,1,,1.0,2.0,2.0,6.0,-28.0,Run,Rush,3.0,Liam Thompson,,,,,,,Cameron Snurr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
8,Wittenberg,O,WAB,1,,1.0,3.0,3.0,3.0,-31.0,Pass,Incomplete,0.0,,Liam Thompson,Incomplete,Derek Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:39,1719,0,0,0,3,3,3,,,,,,,
9,Wittenberg,K,WAB,1,,,,4.0,3.0,-31.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Joey Annee,29.0,40.0,Out of bounds,,,,,,,,,,,,,,13:39,1719,0,0,0,3,3,3,,,,,,,
10,Wittenberg,D,WIT,1,,2.0,1.0,0.0,10.0,-40.0,Pass,Complete,8.0,,Collin Brown,Complete,Drew Sterett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:24,1644,0,0,0,3,3,3,,,,,,,
11,Wittenberg,D,WIT,1,,2.0,2.0,2.0,2.0,-48.0,Run,Rush,6.0,Bryce Anderson,,,,,,,Casey Crozier,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:24,1644,0,0,0,3,3,3,,,,,,,
12,Wittenberg,D,WIT,1,,2.0,3.0,1.0,10.0,46.0,Run,Rush,5.0,Bryce Anderson,,,,,,,Casey Crozier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:24,1644,0,0,0,3,3,3,,,,,,,
13,Wittenberg,D,WIT,1,,2.0,4.0,2.0,5.0,41.0,Pass,Incomplete,0.0,,Collin Brown,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:24,1644,0,0,0,3,3,3,,,,,,,
14,Wittenberg,D,WIT,1,,2.0,5.0,3.0,5.0,41.0,Pass,Complete,9.0,,Collin Brown,Complete,Gene Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:24,1644,0,0,0,3,3,3,,,,,,,
15,Wittenberg,D,WIT,1,,2.0,6.0,1.0,10.0,32.0,Pass,Complete,16.0,,Collin Brown,Complete,,,,,Josh Myers,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:24,1644,0,0,0,3,3,3,,,,,,,
