PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,#14 Johns Hopkins,K,JHU,1,,,,,,,KO Ret,Return,,,,,,,,,Spencer Uggla,Chris James,,,,,,Matt Scully,20,21.0,Kyle Battles,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,#14 Johns Hopkins,O,FMC,1,,1.0,1.0,0.0,10.0,-21.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,,,,,Nick DiFiore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,#14 Johns Hopkins,O,FMC,1,,1.0,2.0,2.0,10.0,-21.0,Run,Rush,3.0,J. Conyers,,,,,,,Chris James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,#14 Johns Hopkins,O,FMC,1,,1.0,3.0,3.0,7.0,-24.0,Pass,Interception,0.0,,Logan Clouse,Interception,,,Matt Dubois,,Ben Moir,,,,,,,Matt Dubois,2,-28.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
5,#14 Johns Hopkins,D,JHU,1,,1.0,1.0,0.0,10.0,26.0,Run,Rush,8.0,Danny Wolf,,,,,,,Tom Papa,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:00,1740,0,0,0,3,3,3,,,,,,,
6,#14 Johns Hopkins,D,JHU,1,,1.0,2.0,2.0,2.0,18.0,Pass,Complete,11.0,,Ryan Stevens,Complete,Artie Collins,,,,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:00,1740,0,0,0,3,3,3,,,,,,,
7,#14 Johns Hopkins,D,JHU,1,,1.0,3.0,1.0,7.0,7.0,Run,Rush,2.0,Danny Wolf,,,,,,,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:00,1740,0,0,0,3,3,3,hold,JHU,Rob Scala,,,,10.0
8,#14 Johns Hopkins,D,JHU,1,,1.0,4.0,1.0,15.0,15.0,Pass,Complete,8.0,,Ryan Stevens,Complete,H. Wellmann,,,,Luke Strauss,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:00,1740,0,0,0,3,3,3,,,,,,,
9,#14 Johns Hopkins,D,JHU,1,,1.0,5.0,2.0,7.0,7.0,Run,Rush,2.0,Danny Wolf,,,,,,,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:00,1740,0,0,0,3,3,3,,,,,,,
10,#14 Johns Hopkins,D,JHU,1,,1.0,6.0,3.0,5.0,5.0,Pass,Incomplete,0.0,,Ryan Stevens,Incomplete,Artie Collins,,,,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:00,1740,0,0,0,3,3,3,,,,,,,
