PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Castleton,K,CUFB,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,,,-35.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Castleton,O,NORWICH,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,13.0,Justin Bryant,,,,,,,Ian DeTulleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Castleton,O,NORWICH,1,,1.0,2.0,1.0,10.0,-38.0,Run,Rush,2.0,Justin Bryant,,,,,,,Seth Gewanter,J. Gilsinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Castleton,O,NORWICH,1,,1.0,3.0,2.0,8.0,-40.0,Pass,Complete,15.0,,Mitchell Theal,Complete,Trevor Chase,,,,Dawson Pierson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Castleton,O,NORWICH,1,,1.0,4.0,1.0,10.0,45.0,Run,Rush,-1.0,Justin Bryant,,,,,,,Chris Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Castleton,O,NORWICH,1,,1.0,5.0,2.0,11.0,46.0,Run,Rush,4.0,Justin Bryant,,,,,,,Spencer Kozlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Castleton,O,NORWICH,1,,1.0,6.0,3.0,7.0,42.0,Pass,Complete,36.0,,Mitchell Theal,Complete,Andrew White,,,,Dawson Pierson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Castleton,O,NORWICH,1,,1.0,7.0,1.0,6.0,6.0,Pass,Sack,-8.0,,Mitchell Theal,Sack,,,,,Chris Rice,Spencer Kozlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Castleton,O,NORWICH,1,,1.0,8.0,2.0,14.0,14.0,Run,Rush,3.0,Justin Bryant,,,,,,,Chris Rice,Seth Gewanter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Castleton,O,NORWICH,1,,1.0,9.0,3.0,11.0,11.0,Pass,Complete,11.0,,Mitchell Theal,Complete,Tristan Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Castleton,K,NORWICH,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Buchy,,,Good,,,,,,,,,10:50,1550,6,0,6,3,3,3,,,,,,,
12,Castleton,K,NORWICH,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,A. Barbarino,,,,,,,,29,37.0,Zach Buchy,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,10:50,1550,7,0,7,3,3,3,,,,,,,
13,Castleton,D,CUFB,1,,1.0,1.0,0.0,10.0,-37.0,Pass,Complete,1.0,,Jacob McCarthy,Complete,A. Martinez,,,,Matthew Christe,Zev Motew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,7,7,3,3,3,,,,,,,
14,Castleton,D,CUFB,1,,1.0,2.0,2.0,9.0,-38.0,Pass,Complete,14.0,,Jacob McCarthy,Complete,Evan Keegan,,,,Matthew Christe,Zev Motew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,7,7,3,3,3,,,,,,,
15,Castleton,D,CUFB,1,,1.0,3.0,1.0,10.0,48.0,Run,Rush,5.0,Caleb Condon,,,,,,,Zev Motew,Gabriel Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,7,7,3,3,3,,,,,,,
16,Castleton,D,CUFB,1,,1.0,4.0,2.0,5.0,43.0,Run,Rush,4.0,Lucas Morse,,,,,,,Bas Osborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,7,7,3,3,3,,,,,,,
17,Castleton,D,CUFB,1,,1.0,5.0,3.0,1.0,39.0,Run,Rush,1.0,Lucas Morse,,,,,,,Patrick Keefe,Gabriel Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,1545,0,7,7,3,3,3,,,,,,,
18,Castleton,,CUFB,1,,,,1.0,10.0,38.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castleton,,,,,,,10:45,1545,0,7,7,3,3,3,,,,,,,
19,Castleton,D,CUFB,1,,1.0,6.0,1.0,10.0,38.0,Pass,Incomplete,0.0,,Jacob McCarthy,Incomplete,A. Martinez,,,,Zev Motew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,1351,0,7,7,3,2,3,,,,,,,
20,Castleton,D,CUFB,1,,1.0,7.0,2.0,10.0,38.0,Pass,Complete,7.0,,Jacob McCarthy,Complete,Wyatt Jackson,,,,Patrick Keefe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,1351,0,7,7,3,2,3,,,,,,,
21,Castleton,D,CUFB,1,,1.0,8.0,3.0,3.0,31.0,Pass,Complete,8.0,,Jacob McCarthy,Complete,Wyatt Jackson,,,,Zev Motew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,1351,0,7,7,3,2,3,,,,,,,
22,Castleton,D,CUFB,1,,1.0,9.0,1.0,10.0,23.0,Pass,Complete,5.0,,Jacob McCarthy,Complete,Wyatt Jackson,,,,Patrick Keefe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,1351,0,7,7,3,2,3,,,,,,,
23,Castleton,D,CUFB,1,,1.0,10.0,2.0,5.0,18.0,Run,Rush,2.0,Lucas Morse,,,,,,,A. Salomon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,1351,0,7,7,3,2,3,,,,,,,
24,Castleton,D,CUFB,1,,1.0,11.0,3.0,3.0,16.0,Pass,Incomplete,0.0,,Jacob McCarthy,Incomplete,Chance Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,07:31,1351,0,7,7,3,2,3,,,,,,,
25,Castleton,,CUFB,1,,,,4.0,3.0,16.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:31,1351,0,7,7,3,2,3,false start,CUFB,,,,,5.0
