PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Heidelberg,K,ADR,1,,,,,,,KO,Return,,,,,,,,,Christopher Augle,,,,,,,Tramon Wiley,30,39.0,Walker Evans,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Heidelberg,D,HEI,1,,1.0,1.0,0.0,10.0,-39.0,Run,Rush,8.0,Montavious Yearby,,,,,,,Konrad Dixon,Sam Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
3,Heidelberg,D,HEI,1,,1.0,2.0,2.0,2.0,-47.0,Run,Rush,6.0,Montavious Yearby,,,,,,,Kyle Minder,Salvatore Patierno,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
4,Heidelberg,D,HEI,1,,1.0,3.0,1.0,10.0,47.0,Pass,Complete,38.0,,Drew Sims,Complete,Dimitri Penick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
5,Heidelberg,D,HEI,1,,1.0,4.0,1.0,9.0,9.0,Run,Rush,5.0,Montavious Yearby,,,,,,,Donovan McCary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
6,Heidelberg,D,HEI,1,,1.0,5.0,2.0,4.0,4.0,Run,Rush,3.0,,,,,,,,Konrad Dixon,Donovan McCary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,1790,0,0,0,3,3,3,,,,,,,
7,Heidelberg,D,HEI,1,,1.0,6.0,3.0,1.0,1.0,Run,Rush,1.0,Jace Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:50,1790,0,0,0,3,3,3,,,,,,,
8,Heidelberg,K,HEI,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Branden Steckel,,,Good,,,,,,,,,12:50,1670,6,0,-6,3,3,3,,,,,,,
9,Heidelberg,K,HEI,1,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,,,True,Jimmie Clark,,ADR,Kenny Kujawa,Jimmie Clark,0,29.0,Branden Steckel,36.0,29.0,Return,,,,,,,,,,,,,,,,,,,12:50,1670,7,0,-7,3,3,3,,,,,,,
10,Heidelberg,O,ADR,1,,1.0,1.0,0.0,10.0,-30.0,Run,Rush,0.0,,,,,,,,Zachary Blackiston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
11,Heidelberg,O,ADR,1,,1.0,2.0,2.0,10.0,-30.0,Pass,Complete,6.0,,Jack Wurzer,Complete,Jimmie Clark,,,,Tramon Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
12,Heidelberg,O,ADR,1,,1.0,3.0,3.0,4.0,-36.0,Run,Rush,9.0,Jack Wurzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
13,Heidelberg,O,ADR,1,,1.0,4.0,1.0,10.0,-45.0,Run,Rush,22.0,Jimmie Clark,,,,,,,Griffin Pendry,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:45,1665,0,7,-7,3,3,3,,,,,,,
