PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wis.-Eau Claire,K,WEC,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Jake Cochnauer,,,,,,,Cameron Bannister,26,26.0,Dan Zeuli,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wis.-Eau Claire,O,CEN,1,,1.0,1.0,0.0,10.0,-26.0,Gold Zone,Pass,Complete,15.0,,,Brady Ketchum,deep,left,Complete,Logan Mont,,,,Jacob Wysocki,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Wis.-Eau Claire,O,CEN,1,,1.0,2.0,1.0,10.0,-41.0,Gold Zone,Pass,Incomplete,0.0,,,Brady Ketchum,short,left,Incomplete,Jeff Herbers,Joel McGrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Wis.-Eau Claire,O,CEN,1,,1.0,3.0,2.0,10.0,-41.0,Gold Zone,Run,Rush,1.0,Brady Ketchum,middle,,,,,,,,,Ethan Tegels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Wis.-Eau Claire,O,CEN,1,,1.0,4.0,3.0,9.0,-42.0,Gold Zone,Pass,Complete,6.0,,,Brady Ketchum,short,right,Complete,Gavin Hierseman,,,,Ryan Kuechle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Wis.-Eau Claire,K,CEN,1,,,,4.0,3.0,-48.0,Go Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Burns,30.0,22.0,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Wis.-Eau Claire,D,WEC,1,,1.0,1.0,0.0,10.0,-22.0,Coming Out,Pass,Complete,5.0,,,Harry Roubidoux,short,right,Complete,Isaac Garside,,,,Reece Miller,Brody Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:11,1691,0,0,0,3,3,3,,,,,,,
8,Wis.-Eau Claire,D,WEC,1,,1.0,2.0,2.0,5.0,-27.0,Gold Zone,Run,Rush,4.0,Ivan Ruble,middle,,,,,,,,,Reid Pakkebier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:11,1691,0,0,0,3,3,3,,,,,,,
9,Wis.-Eau Claire,D,WEC,1,,1.0,3.0,3.0,1.0,-31.0,Gold Zone,Run,Rush,2.0,Ivan Ruble,middle,,,,,,,,,Hunter Olson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:11,1691,0,0,0,3,3,3,,,,,,,
10,Wis.-Eau Claire,D,WEC,1,,1.0,4.0,1.0,10.0,-33.0,Gold Zone,Run,Rush,-1.0,Ivan Ruble,middle,,,,,,,,,Tate Hagen,Cameron Bannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:11,1691,0,0,0,3,3,3,,,,,,,
11,Wis.-Eau Claire,D,WEC,1,,1.0,5.0,2.0,11.0,-32.0,Gold Zone,Run,Rush,6.0,Harry Roubidoux,middle,,,,,,,,,Jr. Maddox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:11,1691,0,0,0,3,3,3,,,,,,,
12,Wis.-Eau Claire,D,WEC,1,,1.0,6.0,3.0,5.0,-38.0,Gold Zone,Pass,Incomplete,0.0,,,Harry Roubidoux,short,right,Incomplete,Joe Swanson,Reid Pakkebier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:11,1691,0,0,0,3,3,3,,,,,,,
13,Wis.-Eau Claire,K,WEC,1,,,,4.0,5.0,-38.0,Gold Zone,Punt Rec,Return,,,,,,,,,,,,Alex Kaminski,,,,,,,Cameron Bannister,7,27.0,,,,,,Nate Baranek,42.0,20.0,Return,,,,,,,,,,,,,,13:11,1691,0,0,0,3,3,3,,,,,,,
14,Wis.-Eau Claire,O,CEN,1,,2.0,1.0,0.0,10.0,-27.0,Gold Zone,Pass,Complete,5.0,,,Brady Ketchum,short,right,Complete,Jeff Herbers,,,,Ryan Kuechle,Jacob Wysocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
15,Wis.-Eau Claire,O,CEN,1,,2.0,2.0,2.0,5.0,-32.0,Gold Zone,Pass,Complete,6.0,,,Brady Ketchum,short,left,Complete,Jeff Herbers,,,,Joel McGrane,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
16,Wis.-Eau Claire,O,CEN,1,,2.0,3.0,1.0,10.0,-38.0,Gold Zone,Run,Rush,1.0,Jason Hopp,left,,,,,,,,,AJ Firminhac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
17,Wis.-Eau Claire,O,CEN,1,,2.0,4.0,2.0,9.0,-39.0,Gold Zone,Pass,Incomplete,0.0,,,Brady Ketchum,short,right,Incomplete,Jeff Herbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
18,Wis.-Eau Claire,O,CEN,1,,2.0,5.0,3.0,9.0,-39.0,Gold Zone,Pass,Complete,8.0,,,Brady Ketchum,short,left,Complete,Aaron Roelfs,,,,Joel McGrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
19,Wis.-Eau Claire,O,CEN,1,,2.0,6.0,4.0,1.0,-47.0,Go Zone,Run,Rush,2.0,Jason Hopp,middle,,,,,,,,,Noah Nephew,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
20,Wis.-Eau Claire,O,CEN,1,,2.0,7.0,1.0,10.0,-49.0,Go Zone,Run,Rush,3.0,Keegan Glover,middle,,,,,,,,,Sam Schradle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
21,Wis.-Eau Claire,O,CEN,1,,2.0,8.0,2.0,7.0,48.0,Go Zone,Pass,Incomplete,0.0,,,Brady Ketchum,short,left,Incomplete,Logan Mont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
22,Wis.-Eau Claire,O,CEN,1,,2.0,9.0,3.0,7.0,48.0,Go Zone,Pass,Complete,6.0,,,Brady Ketchum,short,left,Complete,Logan Mont,,,,Joel McGrane,Branden Huwe,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,10:10,1510,0,0,0,3,3,3,Holding,CEN,Jeff Herbers,,,,10.0
23,Wis.-Eau Claire,O,CEN,1,,2.0,10.0,3.0,17.0,-42.0,Gold Zone,Pass,Complete,8.0,,,Brady Ketchum,short,left,Complete,Logan Mont,,,,Joel McGrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:10,1510,0,0,0,3,3,3,,,,,,,
24,Wis.-Eau Claire,K,CEN,1,,,,4.0,9.0,-50.0,Go Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Burns,39.0,11.0,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
25,Wis.-Eau Claire,D,WEC,1,,2.0,1.0,0.0,10.0,-11.0,Coming Out,Pass,Incomplete,0.0,,,Harry Roubidoux,short,left,Incomplete,Will Adair,,,Tate Hagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02,1322,0,0,0,3,3,3,,,,,,,
26,Wis.-Eau Claire,D,WEC,1,,2.0,2.0,2.0,10.0,-11.0,Coming Out,Pass,Incomplete,0.0,,,Harry Roubidoux,short,right,Incomplete,Isaac Garside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02,1322,0,0,0,3,3,3,,,,,,,
27,Wis.-Eau Claire,D,WEC,1,,2.0,3.0,3.0,10.0,-11.0,Coming Out,Run,Rush,8.0,Ivan Ruble,left,,,,,,,,,Reid Pakkebier,Nate Rahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:02,1322,0,0,0,3,3,3,,,,,,,
28,Wis.-Eau Claire,K,WEC,1,,,,4.0,2.0,-19.0,Coming Out,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Nate Baranek,42.0,39.0,Fair Catch,,,,,,,,,,,,,,07:02,1322,0,0,0,3,3,3,,,,,,,
29,Wis.-Eau Claire,O,CEN,1,,3.0,1.0,0.0,10.0,-39.0,Gold Zone,Run,Rush,3.0,Keegan Glover,middle,,,,,,,,,Liam Enright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:03,1263,0,0,0,3,3,3,,,,,,,
30,Wis.-Eau Claire,O,CEN,1,,3.0,2.0,2.0,7.0,-42.0,Gold Zone,Run,Rush,-4.0,Gavin Hierseman,middle,,,,,,,,,Liam Enright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:03,1263,0,0,0,3,3,3,,,,,,,
31,Wis.-Eau Claire,O,CEN,1,,3.0,3.0,3.0,11.0,-38.0,Gold Zone,Pass,Interception,0.0,,,Brady Ketchum,,,Interception,,,Jacob Wysocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interception,06:03,1263,0,0,0,3,3,3,,,,,,,
32,Wis.-Eau Claire,D,WEC,1,,3.0,1.0,0.0,10.0,49.0,Go Zone,Run,Rush,7.0,Ivan Ruble,middle,,,,,,,,,Tate Hagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:59,1199,0,0,0,3,3,3,,,,,,,
33,Wis.-Eau Claire,D,WEC,1,,3.0,2.0,2.0,3.0,42.0,Go Zone,Run,Rush,2.0,Nate Baranek,middle,,,,,,,,,Derrick Voss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:59,1199,0,0,0,3,3,3,,,,,,,
34,Wis.-Eau Claire,D,WEC,1,,3.0,3.0,3.0,1.0,40.0,Go Zone,Run,Rush,-4.0,Nate Baranek,right,,,,,,,,,Brody Klein,Tate Hagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:59,1199,0,0,0,3,3,3,,,,,,,
35,Wis.-Eau Claire,,WEC,1,,,,4.0,5.0,44.0,Go Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wis.-Eau Claire,,,,,,,04:59,1199,0,0,0,3,3,3,,,,,,,
36,Wis.-Eau Claire,K,WEC,1,,,,4.0,5.0,44.0,Go Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Nate Baranek,34.0,10.0,Fair Catch,,,,,,,,,,,,,,03:10,1090,0,0,0,3,2,3,,,,,,,
37,Wis.-Eau Claire,O,CEN,1,,4.0,1.0,0.0,10.0,-10.0,Backed Up,Pass,Complete,10.0,,,Brady Ketchum,short,left,Complete,Logan Mont,,,,Sam Schradle,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:04,1084,0,0,0,3,3,2,,,,,,,
38,Wis.-Eau Claire,O,CEN,1,,4.0,2.0,1.0,10.0,-20.0,Coming Out,Run,Rush,3.0,Jason Hopp,middle,,,,,,,,,Liam Enright,Ethan Tegels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:04,1084,0,0,0,3,3,2,,,,,,,
39,Wis.-Eau Claire,,CEN,1,,,,2.0,7.0,-23.0,Coming Out,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,03:04,1084,0,0,0,3,3,2,,,,,,,
40,Wis.-Eau Claire,O,CEN,1,,4.0,3.0,2.0,7.0,-23.0,Coming Out,Run,Rush,3.0,Jason Hopp,middle,,,,,,,,,Branden Huwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:33,1053,0,0,0,3,3,2,,,,,,,
41,Wis.-Eau Claire,O,CEN,1,,4.0,4.0,3.0,4.0,-26.0,Gold Zone,Pass,Complete,13.0,,,Brady Ketchum,deep,left,Complete,Jeff Herbers,,,,Joel McGrane,Branden Huwe,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:33,1053,0,0,0,3,3,2,,,,,,,
42,Wis.-Eau Claire,O,CEN,1,,4.0,5.0,1.0,10.0,-39.0,Gold Zone,Pass,Complete,3.0,,,Brady Ketchum,short,left,Complete,Logan Mont,,,,Sam Schradle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:33,1053,0,0,0,3,3,2,,,,,,,
