PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Middlebury,K,AMH,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Conor Kennelly,60.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Middlebury,D,MID,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,4.0,,Peter Scibilia,,,,,,Matt Albino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Middlebury,D,MID,1,,1.0,2.0,2.0,6.0,-29.0,Run,Rush,6.0,,Peter Scibilia,,,,,,John Schiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Middlebury,D,MID,1,,1.0,3.0,1.0,10.0,-35.0,Run,Rush,4.0,,Peter Scibilia,,,,,,Tim Swope,John Schiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Middlebury,D,MID,1,,1.0,4.0,2.0,6.0,-39.0,Pass,Complete,8.0,,Cole Kennon,Complete,Greg Livingston,,,,Raymond Dixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Middlebury,D,MID,1,,1.0,5.0,1.0,10.0,-47.0,Run,Rush,2.0,,Peter Scibilia,,,,,,Joe Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Middlebury,D,MID,1,,1.0,6.0,2.0,8.0,-49.0,Run,Rush,4.0,,Cole Kennon,,,,,,Brett Bates,Phil Slaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Middlebury,D,MID,1,,1.0,7.0,3.0,4.0,47.0,Pass,Interception,0.0,,Cole Kennon,Interception,,,Matt Durborow,,,,,,,,,Matt Durborow,0,40.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Middlebury,O,AMH,1,,1.0,1.0,0.0,10.0,-40.0,Run,Rush,5.0,,Mike Piazza,,,,,,Ryan Whitney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:25,1645,0,0,0,3,3,3,,,,,,,
10,Middlebury,O,AMH,1,,1.0,2.0,2.0,5.0,-45.0,Pass,Complete,6.0,,Mike Piazza,Complete,PJ Clementi,,,,Nate Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:25,1645,0,0,0,3,3,3,,,,,,,
