PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,LaGrange,K,SVU,1,,,,,,,KO,Return,,,,,,,,,Stockton Fergus,Chase Wester,,,,,,C. Waymon,23,27.0,Derek Bass,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,LaGrange,D,LCM,1,,1.0,1.0,0.0,10.0,-27.0,Run,Rush,-8.0,Fredrick Jones,,,,,,,Kymani VaiVai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,LaGrange,D,LCM,1,,1.0,2.0,2.0,18.0,-19.0,Pass,Complete,2.0,,S. Lindsey,Complete,Toby Upshaw,,,,Dylan Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,LaGrange,,LCM,1,,,,3.0,16.0,-21.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,false start,LCM,Quenton Green,,,,5.0
5,LaGrange,D,LCM,1,,1.0,3.0,3.0,21.0,-16.0,Pass,Incomplete,0.0,,S. Lindsey,Incomplete,J. Anderson,,,,Justin Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:53,1793,0,0,0,3,3,3,,,,,,,
6,LaGrange,K,LCM,1,,,,4.0,21.0,-16.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Tyler Coleman,41.0,43.0,Fair Catch,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,LaGrange,O,SVU,1,,1.0,1.0,0.0,10.0,-43.0,Pass,Incomplete,0.0,,Davis Pinkston,Incomplete,Woodson Francoi,,,,D. Densmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:17,1697,0,0,0,3,3,3,holding,LCM,D. Densmore,,,,10.0
8,LaGrange,O,SVU,1,,1.0,2.0,1.0,10.0,47.0,Run,Rush,2.0,Cade Nelson,,,,,,,Sean Santos,B. Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
9,LaGrange,O,SVU,1,,1.0,3.0,2.0,8.0,45.0,Pass,Incomplete,0.0,,Davis Pinkston,Incomplete,Woodson Francoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
10,LaGrange,O,SVU,1,,1.0,4.0,3.0,8.0,45.0,Pass,Complete,17.0,,Davis Pinkston,Complete,Chase Pope,,,,Rashad King,X. Wasef hajbeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,offside,LCM,,,,,
11,LaGrange,O,SVU,1,,1.0,5.0,1.0,10.0,28.0,Pass,Incomplete,0.0,,Davis Pinkston,Incomplete,Chase Pope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
12,LaGrange,O,SVU,1,,1.0,6.0,2.0,10.0,28.0,Pass,Complete,20.0,,Davis Pinkston,Complete,Jake Schenk,,,,Isaiah Screen,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
13,LaGrange,,SVU,1,,,,1.0,8.0,8.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,offside,LCM,Sean Santos,,,,4.0
14,LaGrange,O,SVU,1,,1.0,7.0,1.0,4.0,4.0,Pass,Incomplete,0.0,,Davis Pinkston,Incomplete,Chase Pope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
15,LaGrange,O,SVU,1,,1.0,8.0,2.0,4.0,4.0,Run,Rush,4.0,Cade Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,13:17,1697,0,0,0,3,3,3,,,,,,,
16,LaGrange,K,SVU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derek Bass,,,Good,,,,,,,,,11:24,1584,6,0,6,3,3,3,,,,,,,
17,LaGrange,K,SVU,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Darren Rice,Jake Lindsey,,,,,,C. Waymon,18,20.0,Derek Bass,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,11:24,1584,7,0,7,3,3,3,,,,,,,
18,LaGrange,D,LCM,1,,2.0,1.0,0.0,10.0,-20.0,Run,Rush,5.0,Aubrey Carter,,,,,,,Jason Siaosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19,1579,0,7,7,3,3,3,,,,,,,
19,LaGrange,D,LCM,1,,2.0,2.0,2.0,5.0,-25.0,Run,Rush,-2.0,Aubrey Carter,,,,,,,Dallin Breen,Bishope Apodaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:19,1579,0,7,7,3,3,3,,,,,,,
