PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bridgewater (VA),K,BCE,1,,,,,,,,KO Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,Mike Brown,30.0,,Out of bounds,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bridgewater (VA),D,BCE,1,,1.0,1.0,0.0,10.0,-35.0,Gold Zone,Run,Rush,-2.0,Ronald Robinson Jr.,left,,,,,,,,,Maikeli Tuinakauvadra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Bridgewater (VA),D,BCE,1,,1.0,2.0,2.0,12.0,-33.0,Gold Zone,Run,Rush,3.0,Derrick Jenkins,left,,,,,,,,,Colby Hyder,Dylan Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Bridgewater (VA),D,BCE,1,,1.0,3.0,3.0,9.0,-36.0,Gold Zone,Run,Rush,5.0,Jaylen Wood,left,,,,,,,,,Dylan Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Bridgewater (VA),K,BCE,1,,,,4.0,4.0,-41.0,Gold Zone,Punt Rec,Return,,,,,,,,,,,,Tucker Harris,,,,,,,Dylan Andrew,0,21.0,,,,,,Garrett Graves,38.0,21.0,Return,,,,,,,,True,,True,,,,15:00,1800,0,0,0,3,3,3,Offside,SVU,Nate Matis,,,,5.0
6,Bridgewater (VA),D,BCE,1,,2.0,1.0,0.0,10.0,-46.0,Go Zone,Pass,Complete,5.0,,,Jaylen Wood,short,right,Complete,Dylan Maclachlan,,,,Maikeli Tuinakauvadra,Dylan Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Bridgewater (VA),D,BCE,1,,2.0,2.0,2.0,5.0,49.0,Go Zone,Run,Rush,8.0,Ronald Robinson Jr.,left,,,,,,,,,Colby Hyder,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Bridgewater (VA),D,BCE,1,,2.0,3.0,1.0,10.0,41.0,Go Zone,Pass,Complete,2.0,,,Jaylen Wood,short,left,Complete,Freddie Watkins,,,,Kolby Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,,,,,,,10.0
9,Bridgewater (VA),,BCE,1,,,,1.0,20.0,-49.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,5.0
10,Bridgewater (VA),D,BCE,1,,2.0,4.0,1.0,25.0,-44.0,Gold Zone,Pass,Incomplete,0.0,,,Jaylen Wood,short,right,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Bridgewater (VA),D,BCE,1,,2.0,5.0,2.0,25.0,-44.0,Gold Zone,Pass,Complete,10.0,,,Jaylen Wood,short,right,Complete,Jordan Hughes,,,,Colby Hyder,Dylan Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Bridgewater (VA),D,BCE,1,,2.0,6.0,3.0,15.0,46.0,Go Zone,Pass,Incomplete,0.0,,,Jaylen Wood,,,Incomplete,Jamel Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Bridgewater (VA),K,BCE,1,,,,4.0,15.0,46.0,Go Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Garrett Graves,36.0,10.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
14,Bridgewater (VA),O,SVU,1,,1.0,1.0,0.0,10.0,-10.0,Backed Up,Run,Rush,-1.0,Jacob Wood,left,,,,,,,,,Jalen Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:25,1525,0,0,0,3,3,3,,,,,,,
15,Bridgewater (VA),O,SVU,1,,1.0,2.0,2.0,11.0,-9.0,Backed Up,Pass,Incomplete,0.0,,,Colten Shumway,short,right,Incomplete,Adrean Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:25,1525,0,0,0,3,3,3,,,,,,,
16,Bridgewater (VA),O,SVU,1,,1.0,3.0,3.0,11.0,-9.0,Backed Up,Run,Rush,6.0,Jacob Wood,middle,,,,,,,,,Tucker Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:25,1525,0,0,0,3,3,3,,,,,,,
17,Bridgewater (VA),K,SVU,1,,,,4.0,5.0,-15.0,Coming Out,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aidan Hall,36.0,,,,,,,,,,,,,,,,10:25,1525,0,0,0,3,3,3,,,,,,,
18,Bridgewater (VA),D,BCE,1,,3.0,1.0,0.0,10.0,-49.0,Go Zone,Pass,Complete,9.0,,,Jaylen Wood,short,middle,Complete,Derrick Jenkins,,,,Jacob Taloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
19,Bridgewater (VA),D,BCE,1,,3.0,2.0,2.0,1.0,42.0,Go Zone,Pass,Complete,2.0,,,Jaylen Wood,short,left,Complete,Jamel Johnson,,,,Jahl Freeman,Kolby Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,15.0
20,Bridgewater (VA),D,BCE,1,,3.0,3.0,2.0,14.0,-45.0,Go Zone,Run,Rush,6.0,Jaylen Wood,right,,,,,,,,,Dylan Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,
21,Bridgewater (VA),D,BCE,1,,3.0,4.0,3.0,8.0,49.0,Go Zone,Pass,Complete,6.0,,,Jaylen Wood,short,right,Complete,Jamel Johnson,,,,Seth Massie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:35,1415,0,0,0,3,3,3,,,,,,,
22,Bridgewater (VA),,BCE,1,,,,4.0,2.0,43.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:35,1415,0,0,0,3,3,3,,,,,,,5.0
