PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Cortland,K,CORTLAND,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Patrick Luby,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Cortland,O,BROCK,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,4.0,Jala Coad,,,,,,,Justin Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Cortland,O,BROCK,1,,1.0,2.0,2.0,6.0,-29.0,Run,Rush,10.0,Jala Coad,,,,,,,Stone Murray,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Cortland,O,BROCK,1,,1.0,3.0,1.0,10.0,-39.0,Run,Rush,1.0,Jala Coad,,,,,,,ChristianPowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Cortland,O,BROCK,1,,1.0,4.0,2.0,9.0,-40.0,Pass,Complete,7.0,,Jack Cheshire,Complete,Jared Maurino,,,,Paul Imperiale,Justin Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Cortland,O,BROCK,1,,1.0,5.0,3.0,2.0,-47.0,Run,Rush,4.0,,,,,,,,C. Legagneur,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Cortland,O,BROCK,1,,1.0,6.0,1.0,10.0,49.0,Run,Rush,8.0,,,,,,,,Dylan Dubuque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Cortland,O,BROCK,1,,1.0,7.0,2.0,2.0,41.0,Run,Rush,5.0,Jala Coad,,,,,,,Dylan Dubuque,John Manganella,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Cortland,O,BROCK,1,,1.0,8.0,1.0,10.0,36.0,Run,Rush,3.0,Jala Coad,,,,,,,Dylan Dubuque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Cortland,O,BROCK,1,,1.0,9.0,2.0,7.0,33.0,Pass,Complete,14.0,,Jack Cheshire,Complete,Alex Benson,,,,Paul Imperiale,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Cortland,O,BROCK,1,,1.0,10.0,1.0,10.0,19.0,Run,Rush,-2.0,,,,,,,,Nick Lardaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Cortland,,BROCK,1,,,,2.0,12.0,21.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brockport St.,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
