PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Utica,K,UTICA,1,,,,,,,KO Rec,Return,,,,,,,,,Jimmie Warren,,,,,,,Dayveon Dore,18,20.0,Cory Lichtman,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Utica,O,KEAN,1,,1.0,1.0,0.0,10.0,-20.0,Run,Rush,16.0,Zymir Mobley,,,,,,,Jamel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Utica,O,KEAN,1,,1.0,2.0,1.0,10.0,-36.0,Run,Rush,2.0,Zymir Mobley,,,,,,,M.Lott-Douglass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Utica,O,KEAN,1,,1.0,3.0,2.0,8.0,-38.0,Run,Rush,1.0,Zymir Mobley,,,,,,,M.Lott-Douglass,Jordan Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Utica,O,KEAN,1,,1.0,4.0,3.0,7.0,-39.0,Run,Rush,1.0,Antonio Scott,,,,,,,Jimmie Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Utica,K,KEAN,1,,,,4.0,6.0,-40.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Nick Firth,30.0,30.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Utica,D,UTICA,1,,1.0,1.0,0.0,10.0,-30.0,Run,Rush,-1.0,Tim Hogan,,,,,,,Matt Milden,Anthony Bassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:27,1647,0,0,0,3,3,3,,,,,,,
8,Utica,D,UTICA,1,,1.0,2.0,2.0,11.0,-29.0,Pass,Complete,9.0,,Sonny Badyna,Complete,Matt Brantley,,,,Tanner Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:27,1647,0,0,0,3,3,3,,,,,,,
9,Utica,D,UTICA,1,,1.0,3.0,3.0,2.0,-38.0,Run,Rush,62.0,Nate Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,12:27,1647,0,0,0,3,3,3,,,,,,,
10,Utica,K,UTICA,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maki Medici,,,Good,,,,,,,,,10:56,1556,6,0,-6,3,3,3,,,,,,,
