PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Maryville College,K,MARYVILL,1,,,,,,,KO Ret,Return,,,,,,,,,Jalen Gibson,,,,,,,Jake Whitten,8,11.0,Connor Rutledge,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Maryville College,,BERRY,1,,,,1.0,10.0,-11.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,BERRY,,,,,5.0
3,Maryville College,O,BERRY,1,,1.0,1.0,0.0,15.0,-6.0,Pass,Incomplete,0.0,,Gavin Gray,Incomplete,Jake Bretz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Maryville College,O,BERRY,1,,1.0,2.0,2.0,15.0,-6.0,Pass,Complete,4.0,,Gavin Gray,Complete,Michael Zhu,,,,Caden Harbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Maryville College,O,BERRY,1,,1.0,3.0,3.0,11.0,-10.0,Pass,Sack,-5.0,,Gavin Gray,Sack,,,,,Marique Lucas,,True,Gavin Gray,,BERRY,Joel Alcarez,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Maryville College,K,BERRY,1,,,,4.0,16.0,-5.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Matt Syverson,33.0,-38.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Maryville College,D,MARYVILL,1,,1.0,1.0,0.0,10.0,38.0,Pass,Complete,8.0,,Nelson Smith,Complete,Hunter Burke,,,,Brock Skinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
8,Maryville College,D,MARYVILL,1,,1.0,2.0,2.0,2.0,30.0,Run,Rush,1.0,Kris Hawkins,,,,,,,Ben Prescott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10,1690,0,0,0,3,3,3,,,,,,,
9,Maryville College,D,MARYVILL,1,,1.0,3.0,3.0,1.0,29.0,Run,Rush,4.0,Kris Hawkins,,,,,,,,,True,Kris Hawkins,,BERRY,Al Williams,,,,,,,,,,,,,,,,,,,,,,,,,Fumble,13:10,1690,0,0,0,3,3,3,,,,,,,
10,Maryville College,O,BERRY,1,,2.0,1.0,0.0,10.0,-25.0,Run,Rush,6.0,J. Maisonave,,,,,,,Taylor Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:47,1607,0,0,0,3,3,3,,,,,,,
