PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Allegheny,K,THI,1,,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,,,,Dreyvin Livingston,25.0,40.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Allegheny,D,ALL,1,,1.0,1.0,0.0,10.0,-40.0,Gold Zone,Run,Rush,0.0,Tre Worship,right,,,,,,,,,Chad Morningstar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Allegheny,D,ALL,1,,1.0,2.0,2.0,10.0,-40.0,Gold Zone,Run,Rush,4.0,Tre Worship,middle,,,,,,,,,Chad Morningstar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Allegheny,D,ALL,1,,1.0,3.0,3.0,6.0,-44.0,Gold Zone,Run,Rush,5.0,Tre Worship,,,,,,,,,,Bill McCready III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Allegheny,D,ALL,1,,1.0,4.0,4.0,1.0,-49.0,Go Zone,Run,Rush,0.0,Tre Worship,,,,,,,,,,Jaellen Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Allegheny,O,THI,1,,1.0,1.0,0.0,10.0,49.0,Go Zone,Run,Rush,12.0,Owen Trumbull,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
7,Allegheny,O,THI,1,,1.0,2.0,1.0,10.0,37.0,Go Zone,Run,Rush,1.0,Deon Logan,middle,,,,,,,,,Chris Rubino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
8,Allegheny,O,THI,1,,1.0,3.0,2.0,9.0,36.0,Go Zone,Run,Rush,2.0,Owen Trumbull,middle,,,,,,,,,Allegheny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
9,Allegheny,O,THI,1,,1.0,4.0,3.0,7.0,34.0,Take A Shot,Run,Rush,6.0,Kenyatta Taylor,,,,,,,,,,Chris Rubino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
10,Allegheny,O,THI,1,,1.0,5.0,4.0,1.0,28.0,Take A Shot,Run,Rush,-2.0,Kenyatta Taylor,middle,,,,,,,,,Malcolm Denomme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,13:15,1695,0,0,0,3,3,3,,,,,,,
