PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Susquehanna,K,JHU,1,,,,,,,KO,Return,,,,,,,,,Isaac Scoville,Chris James,,,,,,Samuel Darrell,26,33.0,Kyle Battles,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Susquehanna,D,SUSQFB,1,,1.0,1.0,0.0,10.0,-33.0,Run,Rush,4.0,Frankie Negrini,,,,,,,Nick Seidel,Joe Tischler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Susquehanna,D,SUSQFB,1,,1.0,2.0,2.0,6.0,-37.0,Pass,Incomplete,0.0,,Michael Ruisch,Incomplete,Kyle Good,,,,M. Kilbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Susquehanna,D,SUSQFB,1,,1.0,3.0,3.0,6.0,-37.0,Pass,Complete,5.0,,Michael Ruisch,Complete,Kyle Good,,,,Finn Zechman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Susquehanna,K,SUSQFB,1,,,,4.0,1.0,-42.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Clay Olley,45.0,13.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Susquehanna,O,JHU,1,,1.0,1.0,0.0,10.0,-13.0,Run,Rush,-1.0,Danny Wolf,,,,,,,Riley Gaughan,B. Krumenacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,1725,0,0,0,3,3,3,,,,,,,
7,Susquehanna,O,JHU,1,,1.0,2.0,2.0,11.0,-12.0,Pass,Incomplete,0.0,,Ryan Stevens,Incomplete,Quinn Revere,,,,Aaron Beverly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,1725,0,0,0,3,3,3,,,,,,,
8,Susquehanna,O,JHU,1,,1.0,3.0,3.0,11.0,-12.0,Pass,Complete,5.0,,Ryan Stevens,Complete,Danny Wolf,,,,John Nicosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:45,1725,0,0,0,3,3,3,,,,,,,
9,Susquehanna,K,JHU,1,,,,4.0,6.0,-17.0,Punt,Return,,,,,,,,,,,,,,,,Kyle Good,0,,,,,,,Kyle Battles,33.0,50.0,Return,,,,,,,,,,,,,,13:45,1725,0,0,0,3,3,3,,,,,,,
10,Susquehanna,D,SUSQFB,1,,2.0,1.0,0.0,10.0,-50.0,Pass,Incomplete,0.0,,Michael Ruisch,Incomplete,Jacob Erb,,,,Chris Bedell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:16,1636,0,0,0,3,3,3,,,,,,,
