PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ursinus,K,JHU,1,,,,,,,KO,Return,,,,,,,,,Spencer Uggla,,,,,,,O. Carter,10,10.0,Kyle Battles,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ursinus,D,UC,1,,1.0,1.0,0.0,10.0,-10.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Michael D'Amico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Ursinus,D,UC,1,,1.0,2.0,2.0,10.0,-10.0,Run,Rush,-1.0,Samuel Ragland,,,,,,,Luke Schuermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Ursinus,D,UC,1,,1.0,3.0,3.0,11.0,-9.0,Pass,Complete,12.0,,Jack Psenicska,Complete,O. Carter,,,,Finn Zechman,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Ursinus,D,UC,1,,1.0,4.0,1.0,10.0,-21.0,Run,Rush,-1.0,Samuel Ragland,,,,,,,Chris Bedell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Ursinus,D,UC,1,,1.0,5.0,2.0,11.0,-20.0,Pass,Complete,22.0,,Jack Psenicska,Complete,Samuel Ragland,,,,Nick Seidel,M. Kilbane,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Ursinus,D,UC,1,,1.0,6.0,1.0,10.0,-42.0,Pass,Complete,2.0,,Jack Psenicska,Complete,Samuel Ragland,,,,Finn Zechman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Ursinus,D,UC,1,,1.0,7.0,2.0,8.0,-44.0,Pass,Complete,7.0,,Jack Psenicska,Complete,O. Carter,,,,Finn Zechman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Ursinus,D,UC,1,,1.0,8.0,3.0,1.0,49.0,Run,Rush,2.0,Michael D'Amico,,,,,,,Andrew Goldberg,Matt Dubois,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Ursinus,D,UC,1,,1.0,9.0,1.0,10.0,47.0,Run,Rush,1.0,Samuel Ragland,,,,,,,D. VanKouteren,Nick DiFiore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Ursinus,D,UC,1,,1.0,10.0,2.0,9.0,46.0,Pass,,0.0,,PENALTY JHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Ursinus,D,UC,1,,1.0,11.0,1.0,10.0,36.0,Pass,Complete,9.0,,Jack Psenicska,Complete,Zachary Throne,,,,Ross Andersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
