PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Alvernia University,K,WUFB,1,,,,,,,KO,Return,,,,,,,,,R. Travis,T. Francis,,,,,,Josep Perkins,11,21.0,A. Orlando,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,9.0
2,Alvernia University,D,21AUFB,1,,1.0,1.0,0.0,10.0,12.0,Run,Rush,5.0,Malcolm Carey,,,,,,,D. Gazzola,S. Hess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Alvernia University,D,21AUFB,1,,1.0,2.0,2.0,5.0,17.0,Run,Rush,2.0,Malcolm Carey,,,,,,,O. Adoga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Alvernia University,D,21AUFB,1,,1.0,3.0,3.0,3.0,19.0,Pass,Complete,7.0,,Nick Rosahac,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Alvernia University,D,21AUFB,1,,1.0,4.0,1.0,10.0,26.0,Run,Rush,57.0,Malcolm Carey,,,,,,,,,True,,O. Adoga,WUFB,J. Hernandez,,,15.0,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Alvernia University,O,WUFB,1,,1.0,1.0,0.0,10.0,-15.0,Run,Rush,4.0,J. Tabora,,,,,,,Tajon Whiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:54,1674,0,0,0,3,3,3,,,,,,,
7,Alvernia University,O,WUFB,1,,1.0,2.0,2.0,6.0,-19.0,Run,Rush,1.0,J. Tabora,,,,,,,Teyon Thorpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:54,1674,0,0,0,3,3,3,,,,,,,
8,Alvernia University,O,WUFB,1,,1.0,3.0,3.0,5.0,-20.0,Run,Rush,8.0,E. Jules,,,,,,,Tyzhir Morris,Jamel Fleming,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:54,1674,0,0,0,3,3,3,,,,,,,
9,Alvernia University,O,WUFB,1,,1.0,4.0,1.0,10.0,-28.0,Run,Rush,2.0,E. Jules,,,,,,,Tyzhir Morris, Jean-Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:54,1674,0,0,0,3,3,3,,,,,,,
10,Alvernia University,O,WUFB,1,,1.0,5.0,2.0,8.0,-30.0,Pass,Complete,10.0,,J. Tabora,Complete,K. Reed,,,,Teyon Thorpe,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:54,1674,0,0,0,3,3,3,,,,,,,
