PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,CWRU,K,CWR,1,,,,,,,KO Rec,Return,,,,,,,,,Ryan Cabrera,,,,,,,Chase Lawler,11,16.0,Jacob Lurie,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,CWRU,O,THI,1,,1.0,1.0,0.0,10.0,-16.0,Run,Rush,-2.0,Owen Trumbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,CWRU,O,THI,1,,1.0,2.0,2.0,12.0,-14.0,Run,Rush,5.0,Deon Logan,,,,,,,D.J. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,CWRU,O,THI,1,,1.0,3.0,3.0,7.0,-19.0,Run,Rush,-3.0,Deon Logan,,,,,,,Zach Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,CWRU,,THI,1,,,,4.0,10.0,-16.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,False Start,THI,Donny Pattison,,,,5.0
6,CWRU,K,THI,1,,,,4.0,15.0,-11.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Jake Reddick,26.0,-37.0,Fair Catch,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,CWRU,D,CWR,1,,1.0,1.0,0.0,10.0,37.0,Run,Rush,5.0,Antonio Orsini,,,,,,,Dominick Knierman,Luke Faber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:59,1679,0,0,0,3,3,3,,,,,,,
8,CWRU,D,CWR,1,,1.0,2.0,2.0,5.0,32.0,Pass,Complete,5.0,,Drew Saxton,Complete,Ethan Dahlem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:59,1679,0,0,0,3,3,3,,,,,,,
9,CWRU,D,CWR,1,,1.0,3.0,1.0,10.0,27.0,Pass,Complete,8.0,,Drew Saxton,Complete,Noah Coyne,,,,Justin Logan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:59,1679,0,0,0,3,3,3,,,,,,,
10,CWRU,D,CWR,1,,1.0,4.0,2.0,2.0,19.0,Pass,Incomplete,0.0,,Drew Saxton,Incomplete,Noah Coyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:59,1679,0,0,0,3,3,3,,,,,,,
11,CWRU,,CWR,1,,,,3.0,2.0,19.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:59,1679,0,0,0,3,3,3,False Start,CWR,Anthony Polizzi,,,,5.0
12,CWRU,D,CWR,1,,1.0,5.0,3.0,7.0,24.0,Pass,Complete,1.0,,Drew Saxton,Complete,Lucas DeCaro,,,,X'Zonder Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:59,1679,0,0,0,3,3,3,,,,,,,
13,CWRU,D,CWR,1,,1.0,6.0,4.0,6.0,23.0,Pass,Sack,-3.0,,Drew Saxton,Sack,,,,,Jordan Volpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,12:59,1679,0,0,0,3,3,3,,,,,,,
14,CWRU,O,THI,1,,2.0,1.0,0.0,10.0,-26.0,Run,Rush,5.0,Owen Trumbull,,,,,,,Zach Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:27,1527,0,0,0,3,3,3,,,,,,,
15,CWRU,O,THI,1,,2.0,2.0,2.0,5.0,-31.0,Run,Rush,2.0,Owen Trumbull,,,,,,,Colin Schuster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:27,1527,0,0,0,3,3,3,,,,,,,
16,CWRU,O,THI,1,,2.0,3.0,3.0,3.0,-33.0,Run,Rush,-2.0,Owen Trumbull,,,,,,,AJ Dudowski,Sean Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:27,1527,0,0,0,3,3,3,,,,,,,
17,CWRU,K,THI,1,,,,4.0,5.0,-31.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jake Reddick,22.0,47.0,,,,,,,,,,,,,,,10:27,1527,0,0,0,3,3,3,,,,,,,
18,CWRU,D,CWR,1,,2.0,1.0,0.0,10.0,-47.0,Pass,Sack,-4.0,,Drew Saxton,Sack,,,,,Dominick Knierman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:23,1403,0,0,0,3,3,3,,,,,,,
19,CWRU,D,CWR,1,,2.0,2.0,2.0,14.0,-43.0,Pass,Complete,24.0,,Drew Saxton,Complete,Antonio Orsini,,,,Joe Stoutamire,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:23,1403,0,0,0,3,3,3,,,,,,,
20,CWRU,D,CWR,1,,2.0,3.0,1.0,10.0,33.0,Run,Rush,1.0,Antonio Orsini,,,,,,,Hunter Knapczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:23,1403,0,0,0,3,3,3,,,,,,,
21,CWRU,D,CWR,1,,2.0,4.0,2.0,9.0,32.0,Run,Rush,19.0,Antonio Orsini,,,,,,,Justin Logan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:23,1403,0,0,0,3,3,3,,,,,,,
22,CWRU,D,CWR,1,,2.0,5.0,1.0,10.0,13.0,Pass,Incomplete,0.0,,Drew Saxton,Incomplete,,Joe Stoutamire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:23,1403,0,0,0,3,3,3,,,,,,,
23,CWRU,D,CWR,1,,2.0,6.0,2.0,10.0,13.0,Run,Rush,1.0,Antonio Orsini,,,,,,,Luke Campbell,Dominick Knierman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:23,1403,0,0,0,3,3,3,,,,,,,
24,CWRU,D,CWR,1,,2.0,7.0,3.0,9.0,12.0,Pass,Incomplete,0.0,,Drew Saxton,Incomplete,Lucas DeCaro,Randall Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,08:23,1403,0,0,0,3,3,3,,,,,,,
25,CWRU,K,CWR,1,,,,4.0,9.0,12.0,FG Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Lurie,29.0,No Good,,,,,,,,,,08:23,1403,0,0,0,3,3,3,,,,,,,
26,CWRU,O,THI,1,,3.0,1.0,0.0,10.0,-20.0,Run,Rush,3.0,Marlon Brown,,,,,,,Ryan Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:05,1205,0,0,0,3,3,3,,,,,,,
27,CWRU,O,THI,1,,3.0,2.0,2.0,7.0,-23.0,Run,Rush,1.0,Marlon Brown,,,,,,,Zach Brown,Ryan Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:05,1205,0,0,0,3,3,3,,,,,,,
28,CWRU,,THI,1,,,,2.0,7.0,-23.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thiel,,,,,,,05:05,1205,0,0,0,3,3,3,,,,,,,
29,CWRU,O,THI,1,,3.0,3.0,3.0,6.0,-24.0,Run,Rush,1.0,Owen Trumbull,,,,,,,Zach Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:46,1126,0,0,0,2,2,3,,,,,,,
30,CWRU,K,THI,1,,,,4.0,5.0,-25.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Jake Reddick,29.0,46.0,Fair Catch,,,,,,,,,,,,,,03:46,1126,0,0,0,2,2,3,,,,,,,
31,CWRU,D,CWR,1,,3.0,1.0,0.0,10.0,-46.0,Run,Rush,7.0,Donald III,,,,,,,Andrew Plowden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:57,1077,0,0,0,2,3,2,,,,,,,
32,CWRU,D,CWR,1,,3.0,2.0,2.0,3.0,47.0,Run,Rush,7.0,Donald III,,,,,,,Justin Logan,Chad Morningstar,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:57,1077,0,0,0,2,3,2,,,,,,,
33,CWRU,D,CWR,1,,3.0,3.0,1.0,10.0,40.0,Run,Rush,5.0,Donald III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:57,1077,0,0,0,2,3,2,,,,,,,
34,CWRU,D,CWR,1,,3.0,4.0,2.0,5.0,35.0,Pass,Complete,11.0,,Drew Saxton,Complete,Lucas DeCaro,,,,Randall Miller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:57,1077,0,0,0,2,3,2,,,,,,,
35,CWRU,D,CWR,1,,3.0,5.0,1.0,10.0,24.0,Run,Rush,-4.0,Donald III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:57,1077,0,0,0,2,3,2,,,,,,,
36,CWRU,D,CWR,2,,3.0,6.0,2.0,14.0,28.0,Run,Rush,6.0,Drew Saxton,,,,,,,Andrew Plowden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,2,3,2,,,,,,,
37,CWRU,D,CWR,2,,3.0,7.0,3.0,8.0,22.0,Pass,Complete,17.0,,Drew Saxton,Complete,Noah Coyne,,,,Darnell Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,0,0,0,2,3,2,,,,,,,
38,CWRU,D,CWR,2,,3.0,8.0,1.0,5.0,5.0,Run,Rush,2.0,Donald III,,,,,,,Jarren Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,2,3,2,,,,,,,
39,CWRU,,CWR,2,,,,2.0,3.0,3.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,0,0,2,3,2,False Start,CWR,Austin Weeber,,,,5.0
40,CWRU,D,CWR,2,,3.0,9.0,2.0,8.0,8.0,Pass,Complete,8.0,,Drew Saxton,Complete,Donny Genetin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,900,0,0,0,2,3,2,,,,,,,
41,CWRU,K,CWR,2,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Lurie,,,Good,,,,,,,,,12:50,770,6,0,-6,2,3,2,,,,,,,
42,CWRU,K,CWR,2,,,,1.0,10.0,-35.0,KO Rec,Return,,,,,,,,,Ryan Cabrera,,,,,,,Chase Lawler,17,20.0,Jacob Lurie,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,12:50,770,7,0,-7,2,3,2,,,,,,,
43,CWRU,O,THI,2,,4.0,1.0,0.0,10.0,-20.0,Run,Rush,1.0,Owen Trumbull,,,,,,,AJ Dudowski,Zach Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,763,0,7,-7,2,2,3,,,,,,,
44,CWRU,O,THI,2,,4.0,2.0,2.0,9.0,-21.0,Run,Rush,2.0,Deon Logan,,,,,,,Sean Torres,AJ Dudowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,763,0,7,-7,2,2,3,,,,,,,
45,CWRU,O,THI,2,,4.0,3.0,3.0,7.0,-23.0,Pass,Complete,39.0,,Owen Trumbull,Complete,Marlon Brown,,,,Marco Toth,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:43,763,0,7,-7,2,2,3,,,,,,,
46,CWRU,O,THI,2,,4.0,4.0,1.0,10.0,38.0,Run,Rush,-1.0,Deon Logan,,,,,,,Sonny Oddo,Ryan Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,763,0,7,-7,2,2,3,,,,,,,
47,CWRU,O,THI,2,,4.0,5.0,2.0,11.0,39.0,Run,Rush,0.0,Deon Logan,,,,,,,Marco Toth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,763,0,7,-7,2,2,3,,,,,,,
48,CWRU,,THI,2,,,,2.0,11.0,39.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thiel,,,,,,,12:43,763,0,7,-7,2,2,3,,,,,,,
49,CWRU,O,THI,2,,4.0,6.0,3.0,11.0,39.0,Pass,Sack,-5.0,,Owen Trumbull,Sack,,,,,Ryan Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:27,567,0,7,-7,1,1,3,,,,,,,
50,CWRU,K,THI,2,,,,4.0,16.0,44.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jake Reddick,27.0,17.0,,,,,,,,,,,,,,,09:27,567,0,7,-7,1,1,3,,,,,,,
51,CWRU,D,CWR,2,,4.0,1.0,0.0,10.0,-17.0,Pass,Complete,8.0,,Drew Saxton,Complete,Noah Coyne,,,,Justin Logan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,511,7,0,-7,1,3,1,,,,,,,
52,CWRU,D,CWR,2,,4.0,2.0,2.0,2.0,-25.0,Run,Rush,2.0,Antonio Orsini,,,,,,,Chad Morningstar,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:31,511,7,0,-7,1,3,1,,,,,,,
53,CWRU,D,CWR,2,,4.0,3.0,1.0,10.0,-27.0,Pass,Complete,8.0,,Drew Saxton,Complete,Donny Genetin,,,,X'Zonder Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,511,7,0,-7,1,3,1,,,,,,,
