PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Framingham State,K,FRAMINGH,1,,,,,,,KO Ret,Return,,,,,,,,,Joshua Onujiogu,,,,,,,Thomas Jenkins,34,34.0,H. De,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Framingham State,O,MUHL,1,,1.0,1.0,0.0,10.0,-34.0,Pass,Incomplete,0.0,,Mike Hnatkowsky,Incomplete,Thomas Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Framingham State,O,MUHL,1,,1.0,2.0,2.0,10.0,-34.0,Run,Rush,5.0,Rory DeLuca,,,,,,,Nick Ashley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Framingham State,O,MUHL,1,,1.0,3.0,3.0,5.0,-39.0,Pass,Incomplete,0.0,,Mike Hnatkowsky,Incomplete,Mitch Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,15:00,1800,0,0,0,3,3,3,pass interference,FRAMINGH,Chase Buono,,,,15.0
5,Framingham State,O,MUHL,1,,1.0,4.0,1.0,10.0,46.0,Pass,Complete,14.0,,Mike Hnatkowsky,Complete,Michael Feaster,,,,Moise Nazaire,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Framingham State,O,MUHL,1,,1.0,5.0,1.0,10.0,32.0,Run,Rush,7.0,Rory DeLuca,,,,,,,Chase Buono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Framingham State,O,MUHL,1,,1.0,6.0,2.0,3.0,25.0,Run,Rush,5.0,Rory DeLuca,,,,,,,Chase Buono,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Framingham State,O,MUHL,1,,1.0,7.0,1.0,10.0,20.0,Pass,Complete,20.0,,Mike Hnatkowsky,Complete,Mitch Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Framingham State,K,MUHL,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Stannard,,,Good,,,,,,,,,13:03,1683,6,0,6,3,3,3,,,,,,,
10,Framingham State,K,MUHL,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Joshua Barnett,,,,,,,Devaun Ford,12,28.0,Nick Stannard,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,13:03,1683,7,0,7,3,3,3,holding,FRAMINGH,,,,,10.0
11,Framingham State,D,FRAMINGH,1,,1.0,1.0,0.0,10.0,-18.0,Pass,Complete,2.0,,N. Goffredo,Complete,Devaun Ford,,,,Joshua Barnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:53,1673,0,7,7,3,3,3,,,,,,,
12,Framingham State,D,FRAMINGH,1,,1.0,2.0,2.0,8.0,-20.0,Pass,Complete,8.0,,N. Goffredo,Complete,Elijah Nichols,,,,Spencer Kirin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:53,1673,0,7,7,3,3,3,,,,,,,
13,Framingham State,D,FRAMINGH,1,,1.0,3.0,1.0,10.0,-28.0,Run,Rush,2.0,Devaun Ford,,,,,,,Spencer Kirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:53,1673,0,7,7,3,3,3,,,,,,,
14,Framingham State,D,FRAMINGH,1,,1.0,4.0,2.0,8.0,-30.0,Run,Rush,-1.0,N. Goffredo,,,,,,,John Lohrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,12:53,1673,0,7,7,3,3,3,holding,FRAMINGH,Devaun Ford,,,,10.0
15,Framingham State,D,FRAMINGH,1,,1.0,5.0,2.0,18.0,-20.0,Pass,Interception,0.0,,N. Goffredo,Interception,,,Jay McGill,,Nicholas Gordon,,,,,,,Jay McGill,1,-28.0,,,,,,,,,,,,,,,,,,,,,,Interception,12:53,1673,0,7,7,3,3,3,,,,,,,
16,Framingham State,O,MUHL,1,,2.0,1.0,0.0,10.0,27.0,Pass,Incomplete,0.0,,Mike Hnatkowsky,Incomplete,Michael Feaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:42,1542,7,0,7,3,3,3,,,,,,,
17,Framingham State,O,MUHL,1,,2.0,2.0,2.0,10.0,27.0,Run,Rush,2.0,Michael Feaster,,,,,,,Cully Curran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:42,1542,7,0,7,3,3,3,,,,,,,
18,Framingham State,O,MUHL,1,,2.0,3.0,3.0,8.0,25.0,Run,Rush,-2.0,Ethan Brader,,,,,,,Dylan DeWolfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:42,1542,7,0,7,3,3,3,,,,,,,
19,Framingham State,O,MUHL,1,,2.0,4.0,4.0,10.0,27.0,Pass,Incomplete,0.0,,Mike Hnatkowsky,Incomplete,Thomas Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,10:42,1542,7,0,7,3,3,3,,,,,,,
